title,prefix,subtitle,full_title,key_note,description,pages,volume,publisher,series
Pan Chao,,Foremost Woman Scholar of China,Pan Chao: Foremost Woman Scholar of China,"<p class=""Keynote"">A pioneering study of the life and work of a Chinese woman scholar of the Eastern Han period</p>","<p class=""Bkdesc"">First published in 1932, this book is perhaps the earliest work by an American scholar on a Chinese woman intellectual. Nancy Lee Swann presents a sketch of the Eastern Han period when Pan lived and wrote, of her family background, and of the literary milieu of which she was a part. In addition, Swann provides translations of writings definitively identified with Pan that survive from the years when she was active (ca. 89–105 a.d.).</p> <p class=""Bkdesc"">While Pan is well known for her contribution to the great <i style=""mso-bidi-font-style:normal"">Han-shu</i>, of special interest is her treatise on the moral training of women, in which she makes a plea for girls to be given the same education as boys and points to principles that led young women to success in ancient China. Swann also includes memorials, short poems, and an essay, all of which demonstrate Pan's rhetorical skills and her concerns at the Han court.</p> <p class=""Bkdesc"">A considerable work of scholarship, <i style=""mso-bidi-font-style:normal"">Pan Chao</i> is grounded in Swann's detailed knowledge of the history and literature of the late Han. Swann includes the Chinese text for shorter works and a comprehensive list of primary sources on this important early scholar.</p>",204,5,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
Concept of Man in Early China,The,,The Concept of Man in Early China,"<p class=""Keynote"">A staple in the study of early Chinese philosophy and civilization</p>","<p class=""Bkdesc"">2001</p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Concept of Man in Early China </i>addresses conceptions of human beings in early Chinese thought, with the original concept of ""natural equality"" running through all its chapters. Natural equality, or the descriptive sense of equality, refers to common attributes or characteristics shared by all persons at birth. This feature of Chinese views of human beings is different from the evaluative sense of equality in mainstream Western theories. </p> <p class=""Bkdesc"">To develop his thesis, Munro comprehensively investigates historical documents, books, philosophical texts of various schools, and bone and bronze inscriptions. Based as it is on such a wide array of sources, the thesis of natural equality has been broadly accepted by scholars and philosophers in the West and in China. Impressively, Munro identified the single theoretical position common to all philosophical schools of the Warring States era, despite their intense disputation about the issues of the day. Natural equality illuminates attributes of Confucianism, Taoism, and Chinese Buddhism, as well as pointing to seminal differences between the theories of human nature in ancient China and the West. </p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Concept of Man in Early China</i> was hailed at its first release as ""exceptional among studies of Chinese philosophy,"" a work ""combining philosophical acumen with sinological competence that raises the study of early Chinese thought to a new level of sophistication."" Deserving of renewed attention, this time-tested work will be of enduring value to younger generations of China scholars.</p>",296,6,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
Exiles at Home,,Stories by Ch'en Ying-chen,Exiles at Home: Stories by Ch'en Ying-chen,"<p class=""Keynote"">Nine stories imbued with the unique empathy and aesthetic strength of their author, an intellectual godfather to many contemporary Chinese writers in Taiwan and around the world</p>","<p class=""Bkdesc"">When <i style=""mso-bidi-font-style:normal"">Exiles at Home </i>first appeared in 1986, Ch'en Ying-chen was already hailed as a central figure in the Native Literature movement in Taiwan. Ch'en, who spent seven years in prison on political ""subversion"" charges, is known for his often brutal honesty about rural poverty and the bland hypocrisies of the middle class. Deeply moral, Ch'en's nine stories here capture his personal alienation, touching on issues of racism, business ethics, and social nonconformity that continue to worry Chinese society on both sides of the straits. </p> <p class=""Bkdesc"">Lucien Miller's translation deftly conveys the force and the spirit of Ch'en's prose; his colloquial American English suits Chen's jabs at Taiwan's Americanization. This was the first collection of Ch'en's stories to appear in English and its stories still challenge readers with Ch'en's keen social consciousness and commitment to the Chinese literary tradition.</p>",212,7,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
"""At Middle Age""",,A Learning Guide,"""At Middle Age"": A Learning Guide",,"<p class=""Toreview"">The Chinese film <i style=""mso-bidi-font-style: normal"">Rendao Zhongnian</i> is based on Chen Rong's acclaimed novella about two women coping with the aftermath of the Cultural Revolution. For advanced students. Available from distributors on both videocassette and videodisc. The new edition incorporates script, vocabulary, and exercises into a single volume and includes a new section that provides a scene-by-scene description of the action using simple vocabulary and grammar.</p>",280,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"""A Great Wall""",,A Learning Guide,"""A Great Wall"": A Learning Guide",,"<p class=""Toreview"">Filmed in China, the Peter Wang motion picture <i style=""mso-bidi-font-style:normal"">A Great Wall</i> chronicles the experiences of a Chinese-American family during an extended visit with relatives in Beijing. Entertaining and rich in cross-cultural insights, the film is well suited both for teaching Chinese language and culture and for stimulating class discussion. </p> <p class=""Toreview"">This learning guide is prepared especially for students at an intermediate level. Prerequisite to its use is proficiency in the basics of Chinese grammar and vocabulary. The text has been divided into ten sections for convenient study, with each section containing a portion of the script, a list of new vocabulary words for each scene in that section, sample sentences for the vocabulary, and exercises. [v]</p>",320,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"""Strange Friends""",,A Learning Guide,"""Strange Friends"": A Learning Guide",,"<p class=""Toreview"">The Chinese film <i style=""mso-bidi-font-style: normal"">Moshengde Pengyou</i> follows the adventures of three strangers with mysterious pasts who meet on a train. For intermediate students. The new edition incorporates script, vocabulary, and exercises into a single volume and includes a new section that provides a scene-by-scene description of the action using simple vocabulary and grammar.</p>",240,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"""The Girl in Red""",,A Study Guide for the Film,"""The Girl in Red"": A Study Guide for the Film",,"<p class=""Toreview"">Surrounded by negative role models and the strictures of convention, a plucky teenage girl struggles to define individualism and maintain her integrity. With extensive grammatical notes and both oral and written exercises, this guide is ideal for developing aural comprehension and speech skills at the intermediate level. In the same format as the study guide for <i style=""mso-bidi-font-style:normal"">Under the Bridge</i>.</p>",302,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"""The True Story of Ah Q""",,A Learning Guide,"""The True Story of Ah Q"": A Learning Guide",,"<p class=""Toreview"">Based on Lu Xun's famous story, <i style=""mso-bidi-font-style:normal"">The True Story of Ah Q</i> was filmed in China in 1981. Jing-heng Ma's <i style=""mso-bidi-font-style:normal"">Learning Guide</i> turns this film into a powerful tool for teaching advanced students. It is designed to help students expand their vocabulary and improve their mastery of grammar. Equally important, <i style=""mso-bidi-font-style:normal"">The True Story of Ah Q</i> introduces students both to an important period in Chinese history and to the work of an influential but difficult Chinese writer.</p>",234,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"""Under the Bridge""",,A Study Guide for the Film,"""Under the Bridge"": A Study Guide for the Film",,"<p class=""Toreview"">Consisting of the complete filmscript, vocabulary annotations, grammatical notes, and exercises, this study guide turns the Chinese film, <i style=""mso-bidi-font-style:normal"">Under the Bridge</i> into a powerful teaching tool. With its focus on the down-to-earth, colloquial, high-frequency vocabulary and discourse patterns of authentic spoken Chinese, Ling's book addresses a need neglected by most traditional textbooks. Although the guide has been prepared for students who have completed two years of Chinese, it is flexible enough to accommodate a broad range of language levels. Its user-friendly features include indexes, summary vocabulary lists, vocabulary items ranked into three levels of priority, bottom-of-page vocabulary annotations, English explanations of grammar points with sample sentences, and complex and simplified characters on facing pages. An excellent film on its own merits, <i style=""mso-bidi-font-style:normal"">Under the Bridge</i> tells the story of a lost generation struggling with unemployment, crime, and psychological scars as they try to rebuild their lives amid the rubble of the Cultural Revolution.</p>",328,,UM Center for Chinese Studies,Film Guides for Students of Chinese
"Chinese Economy, 1912–1949",The,,"The Chinese Economy, 1912–1949","<p class=""Keynote"">Surveys the history of the Chinese economy from the end of the Manchu dynasty to the establishment of the People's Republic</p>","<p class=""Toreview"">The years before 1949 in the Chinese economy saw no ""take-off"" toward sustained growth of aggregate output and the possibility of increased individual welfare which, hopefully, might accompany it. At best, in welfare terms, the great majority of the Chinese merely sustained and reproduced themselves at the minimum subsistence level to which, the callous might say, they had long since become accustomed. With certain qualifications, the Chinese economy neither grew in size (""developed"") nor altered in structure (""changed"") in any significant degree before 1949. </p> <p class=""Toreview""><i style=""mso-bidi-font-style: normal"">The Chinese Economy </i>focuses on the extent to which the economy grew or developed between 1912 and 1949, rather than on implicit structural instabilities and permutations or on changes in value orientation. </p>",79,1,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Cultural Revolution,The,1967 in Review,The Cultural Revolution: 1967 in Review,,"<p class=""Toreview"">The four papers in this short symposium volume were prepared for a research conference convened by the University of Michigan Center for Chinese Studies in March 1968. These papers and the conference as a whole were not intended as a detailed or exhaustive account of the course of the Cultural Revolution in Communist China. Although primary emphasis was placed on developments in 1967, the approach was topical and analytical rather than chronological and descriptive.</p> <p class=""Toreview"">On the basis of presently available evidence, it would seem that the Chinese Communist system was from the very inception based on an inherent contradiction and tension which erupted from time to time with the Cultural Revolution merely being its latest and most violent manifestation. [i, ii]</p>",125,2,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Two Studies in Chinese Literature,,,Two Studies in Chinese Literature,,"<p class=""Toreview""><span style=""mso-spacerun:yes""> ""Hsu Hsia-k'o's Huang Shan Travel Diaries,"" by Li Chi, examines the career and writings of the first professional traveler and explorer of premodern China. In ""One Aspect of Form in the Arias of Yuan Opera,"" Dale Johnson analyzes vestigial details of the lyrics to gain a clearer view of Yuan opera's musical structure.</p>",104,3,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Early Communist China,,Two Studies,Early Communist China: Two Studies,,"<p class=""Toreview"">Contains two detailed case studies. In ""The Fu-t'ien Incident, December 1930,"" Ronald Suleski describes the pivotal incident in the power struggle between Mao Zedong and the Communist Central Committee. Daniel Bays's study of ""Agrarian Reform in Kwangtung, 1950–1953"" focuses upon the measures taken by the Chinese Communist Party to control and eventually collectivize rural elites in Kwangtung province.</p>",88,4,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Chinese Economy, ca. 1870–1911",The,,"The Chinese Economy, ca. 1870–1911","<p class=""Keynote"">Reviews economic development and stasis in the final decades of the Manchu dynasty</p>","<p class=""Toreview"">There was little of the Chinese economy prior to the twentieth century that was not included within the agricultural sector or quite intimately connected with it. However, while discussing agriculture first, <i style=""mso-bidi-font-style:normal"">The Chinese Economy, ca. 1870–1911</i> gives roughly equal attention to handicrafts, modern industry, trade and commerce, and the fiscal system. In each case, Feuerwerker focuses on what was new or changing in the last five decades of the Manchu dynasty against the background of what remained until 1911 and long afterward a basically unaltered mix of the factors of production operating within a largely constant social context. Fundamentally economic change and modern economic growth, in so far as they have been accomplished in twentieth-century China, did not come of their own momentum out of the late Ch'ing economic system. They were preeminently by-products of a new and possibly still tenuous political integration which itself was achieved only after decades of political strife, foreign invasion, and civil war.</p>",77,5,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Chinese Paintings in Chinese Publications, 1956–1968",,An Annotated Bibliography and Index to the Paintings,"Chinese Paintings in Chinese Publications, 1956–1968: An Annotated Bibliography and Index to the Paintings","<p class=""Keynote"">A bibliography of publications issued between 1956 and August 1968 that reproduce Chinese paintings in public or private collections</p>","<p class=""Toreview"">This bibliography includes publications issued between 1956 and August 1968 that reproduce Chinese paintings now in Chinese public or private collections. The great majority of these publications were produced in Mainland China, Taiwan, Hong Kong, or Japan. Each publication included in the bibliography has been provided with a detailed physical description of the publication itself. The title by which each work is referred to in the index is included at the end of each entry.</p>",320,6,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Treaty Ports and China's Modernization,The,What Went Wrong?,The Treaty Ports and China's Modernization: What Went Wrong?,,"<p class=""Toreview"">The port cities which grew out of a few of the earlier European trade bases constituted a working model of dynamic nineteenth-century Europe, commonly under colonial control, and functioned as points of entry into Asia of an alien Western order at a time when the West was in the midst of vigorous economic/technological/institutional growth and when, as it happened, most of Asia (with the prominent exception of Japan) was experiencing a period of relative deterioration in all of these respects. The European impact was correspondingly devastating, not only in its re-making of the economic landscape in much of Asia but in its action on Asian cultural/national perceptions. </p> <p class=""Toreview"">The new cities were not particularistically Asian, let alone national in the old sense, nor were they coherent symbols of a homogeneous culture of traditional consensus, but physically unplanned growths which neatly symbolized the disruption and conflict which they introduced into each Asian order. They belonged at least as much and in many ways more to a ""modernizing"" and supra-national world than to the particular cultures or economies whose oceanic peripheries they occupied.</p>",73,7,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Two Twelfth-Century Texts on Chinese Painting,,,Two Twelfth-Century Texts on Chinese Painting,"<p class=""Keynote"">Translations of the <i style=""mso-bidi-font-style:normal"">Shan-shui ch'un-ch'uan chi</i> by Han Cho and chapters 9 and 10 of <i style=""mso-bidi-font-style:normal"">Hua-chi </i>by Teng Ch'un</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Two Twelfth-Century Texts on Chinese Painting </i>translates two texts dealing with the history and tenets of the Imperial Painting Academy of Emperor Hui-tsung (reigned 1101–1126) in the late Northern Sung period. <i style=""mso-bidi-font-style:normal"">Shan-shui ch'un-ch'uan chi </i>is an important text from the Hsuan-ho era (1119–1126). It is a treatise for beginning landscape painters, conservative in nature and not specifically directed at Academicians.</p>",74,8,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Economy of Communist China, 1949–1969",The,,"The Economy of Communist China, 1949–1969",,"<p class=""Toreview"">Economic development in mainland China during the first two decades of Communist control provides a typical example for the difficult task to transform a vast underdeveloped agrarian economy into a modern industrial one. In the first half of this period, a series of massive transformations of social and economic institutions was accompanied by a drafted industrialization program; the result was an impressive speed-up in economic growth. The second decade witnessed an economic crisis (1960–62) and a political upheaval (1966–68). These disruptions marred the economic performance over the period as a whole. Consequently, the long-term growth rate appears to have been only moderate.</p> <p class=""Toreview""><i style=""mso-bidi-font-style: normal"">The Economy of Communist China </i>reviews selected aspects of the economy. After examining the development strategy, it analyzes the quantitative trends and the structural changes. The book goes on to analyze the key factors contributing to the earlier growth and the elements responsible for the later disruption and finally assesses the impact of the Cultural Revolution on the Chinese economy and the prospects of the current Third Five-Year Plan.</p> <p class=""Toreview"">The text includes a bibliography of selected materials on Chinese economic development.</p>",79,9,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Educated Youth and the Cultural Revolution in China,,,Educated Youth and the Cultural Revolution in China,,"<p class=""Toreview"">The Cultural Revolution was an emotionally charged political awakening for the educated youth of China. Called upon by aging revolutionary Mao Tse-tung to assume a ""vanguard"" role in his new revolution to eliminate bourgeois revisionist influence in education, politics, and the arts, and to help to establish proletarian culture, habits, and customs, in a new Chinese society, educated young Chinese generally accepted this opportunity for meaningful and dramatic involvement in Chinese affairs. It also gave them the opportunity to gain recognition as a viable and responsible part of the Chinese polity. In the end, these revolutionary youths were not successful in proving their reliability. Too ""idealistic"" to compromise with the bourgeois way, their sense of moral rectitude also made it impossible for them to submerge their factional differences with other revolutionary mass organizations to achieve unity and consolidate proletarian victories. Many young revolutionaries were bitterly disillusioned by their own failures and those of other segments of the Chinese population—particularly the Peoples Liberation Army and the central leadership—and by the fate of the middle school and college graduates of 1965 through 1967, many of whom were assigned to rural communes between November 1967 and June 1968.</p>",114,10,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Premodern China,,A Bibliographical Introduction,Premodern China: A Bibliographical Introduction,"<p class=""Keynote"">An introductory bibliography of Western-language works on premodern China from historic times to the early nineteenth century</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Premodern China </i>is designed primarily to introduce graduate students of premodern Chinese studies to all basic research tools and the current state of research in their field. It is hoped that the use of this bibliography will familiarize students with the major achievements and the most significant issues raised in Western-language sources (primarily English) before they undertake their research into Chinese and Japanese materials. A few standard references to and bibliographies of Chinese and Japanese sources, mostly with excellent comments in English, have also been included as a guide for advanced students who have acquired some reading knowledge of Chinese and/or Japanese and who desire to read works in these languages. </p> <p class=""Toreview"">In addition to scholars of premodern Chinese studies, teachers, librarians, and students of various fields will find the bibliography useful for different purposes. [i]</p>",183,11,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Two Studies on Ming History,,,Two Studies on Ming History,"<p class=""Keynote"">A historical analysis of a famous military campaign in 1556, and a translation of a narrative account of a popular uprising in 1626</p>","<p class=""Toreview"">Hu Tsung-hsien's campaign against Hsu hai, 1556. In the spring and summer of 1556 a renegade Chinese named Hsu Hai led an invading group of Japanese and Chinese on a plundering foray through the northeastern sector of Chekiang province. Opposing them was a military establishment that for years past had been battered by coastal raiders, now under the control of an ambitious and clever official named Hu Tsung-hsien. The campaign was not one of the most consequential in China's military history, even during the Ming dynasty (1368–1644). But it was famous and well reported in its time, and it illustrates some of the unusual ways in which the Chinese of the imperial age coped with the often unusual military problems they faced.</p> <p class=""Toreview"">Su-chou and the agents of Wei Chung-hsien, 1626. K'ai-tu ch'uan-hsin is a narrative account of a popular uprising that occurred in the Chinese city of su-chou in the spring of 1626 on the occasion of the promulgation of an order for the arrest of the scholar-official Chou Shun-ch'ang (1584–1626).­ The narrative that is translated in full here is the most comprehensive extant account of the incident at Su-chou.</p>",83,12,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Nineteenth-Century China,,Five Imperialist Perspectives,Nineteenth-Century China: Five Imperialist Perspectives,,"<p class=""Toreview"">The five documents reproduced here are each typical of the periods from which they come, but none of them represents what might be called the main stream in the sense that each was overtaken or contradicted by events. Given the legitimacy of attempting to see every period as much as possible in its own terms, if not (since that is impossible) <i style=""mso-bidi-font-style:normal"">wie es eigentlich gewesen</i>, it is important to consider at least a representative sample of everything which was written or recorded: in this case, what China looked like and suggested to Englishmen on the spot in Canton and Hong Kong in the first half of the nineteenth century, and how they viewed their own country and its role vis-à-vis the China they observed.</p>",82,13,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Modern China, 1840–1972",,An Introduction to Sources and Aids,"Modern China, 1840–1972: An Introduction to Sources and Aids",,"<p class=""Toreview"">Graduate students have traditionally learned a good part of what they know about sources and research aids on modern China through hearsay and serendipity, in unsystematic and unreliable bits and pieces. The field has now developed to the point where this need not and ought not to be so. It is now possible for beginning researchers to start with some shared basic knowledge of research aids and documentary resources. This research guide is meant to provide that knowledge.</p>",95,14,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
